Poll_ID,Pollster,PollScore,Sample_Size,Party,PCT,Answer
291,Beacon/Shaw,-1,7343,DEM,45,Harris
64904,Cherry Communications,0.3,25061,DEM,42,Stein
78920,Slingshot Strategies,0.1,16972,PSL,51,Scott
34649,Suffolk,0,20890,OTH,43,Trump
28220,Hoffman Research,1.7,1434,DEM,45,Trump
70951,U. North Florida,-0.6,3506,OTH,52,Trump
63969,Washington Post/George Mason University,0.1,24495,CON,65,Trump
66907,Dan Jones,1.6,6534,LIB,40,Harris
33341,Keating Research,-0.5,9451,IND,61,Kennedy
73285,Siena,1.6,3887,OTH,39,De la Cruz
21520,U. New Hampshire,0.4,24000,GRE,64,Biden
73808,Florida Atlantic University/Mainstreet Research,0.3,3591,UNK,47,Biden
55807,Wick,-1.1,6974,OTH,47,Trump
7212,Florida Atlantic University/Mainstreet Research,-1.5,14463,PSL,59,Trump
86189,Abacus Data,-1,21365,GRE,44,Kennedy
843,Fleming & Associates,-0.6,10106,OTH,55,DeSantis
11829,Tarrance,NA,11619,GRE,47,Trump
16349,Harris Poll,-0.9,14777,OTH,54,Haley
18548,YouGov/Center for Working Class Politics,-0.6,23591,GRE,46,Trump
12434,NewsNation/Decision Desk HQ,-0.1,3367,DEM,53,West
48515,Data Orbital,-0.5,23709,OTH,49,Biden
60678,NORC,-1.3,5,DEM,44,Trump
60572,Premise,0.7,9475,UNK,50,Biden
62349,Echelon Insights,1.7,8278,UNK,50,Stein
72042,U. North Florida,-0.7,3689,OTH,56,Harris
74648,Ohio Northern University Institute for Civics and Public Policy,-1,24492,IND,56,Trump
39635,PRRI,-0.8,12685,IND,59,Kennedy
42181,Victory Insights,-1.2,21009,GRE,40,Oliver
43280,Emerson,-0.7,11246,PSL,43,Harris
40937,Texas Lyceum,-1,18035,UNK,49,Trump
35846,Murphy Nasica & Associates,-0.5,20348,CON,46,Trump
8991,PEM Management Corporation,0.7,2118,PSL,62,Trump
13418,Cor Strategies,-0.4,6107,CON,43,Stein
75911,Trafalgar Group,-1.5,11514,DEM,43,Biden
29110,CWS Research,-1.2,25489,OTH,44,Trump
26645,UpOne Insights/BSG,-0.9,20772,REP,64,Newsom
86373,Arc Insights,-1,15677,PSL,38,Biden
51251,Embold Research,NA,13689,PSL,43,Biden
45058,Meredith College,0.3,20313,CON,57,Trump
76595,St. Pete Polls,0.1,13159,OTH,59,Trump
50911,Patriot Polling,-0.4,11858,OTH,55,Oliver
85334,HarrisX/Harris Poll,-1.2,12859,IND,45,Trump
22258,New Bridge Strategy/Aspect Strategic,-0.9,14927,DEM,69,Biden
3950,Beacon/Shaw,-1.2,7164,UNK,51,Biden
54148,SurveyUSA/High Point University,-0.8,24213,LIB,46,Biden
71075,Global Strategy Group,-1,25246,PSL,42,Trump
78819,U. New Hampshire,-0.7,21745,LIB,43,Biden
22635,Big Data Poll,0.2,1814,GRE,46,Biden
30890,Yale Youth Poll,-1.3,14545,GRE,45,Harris
26794,National Public Affairs,0.1,11972,LIB,66,Kennedy
71982,Roanoke College,0,6512,DEM,51,Harris
21642,Targoz Market Research,-0.6,15120,REP,55,Trump
49077,OH Predictive Insights / MBQF,0.4,16615,CON,54,Biden
50950,Echelon Insights/GBAO,0.4,19467,GRE,48,West
436,Zogby,0.7,24458,PSL,46,Harris
22478,Hunt Research,-0.1,21518,IND,37,Trump
87598,Gateway Political Strategies,-0.4,15183,OTH,41,Biden
85455,Public Opinion Strategies,-0.9,15629,DEM,40,Biden
38360,Let's Preserve the American Dream,-0.3,3641,LIB,68,Trump
10079,Public Opinion Strategies,0.3,2215,DEM,38,Ayyadurai
17941,Franklin and Marshall College,-0.6,9922,LIB,50,Stein
42248,Gravis Marketing (post 2020),-1.2,7878,PSL,40,Biden
42809,Alaska Survey Research,NA,14487,LIB,40,DeSantis
13580,Tarrance,-1.3,20988,GRE,61,Trump
40344,The Tyson Group,-0.4,3465,PSL,44,Trump
84811,Split Ticket,-0.5,17710,REP,57,Harris
28736,Mitchell,-1.3,16581,IND,41,Harris
32366,SurveyUSA,-0.9,6233,DEM,45,Trump
12203,OnMessage Inc.,0.1,6377,OTH,42,Trump
25674,P2 Insights,0.2,16829,DEM,43,Trump
84728,Praecones Analytica,-0.9,4457,LIB,48,Kennedy
26571,University of Houston/Texas Southern University,-1.2,19874,LIB,58,Trump
55178,Zogby,-0.8,7279,UNK,49,Kennedy
7765,Target Insyght,0.4,8082,LIB,52,Kennedy
13747,HarrisX,-1.1,21514,PSL,59,Kennedy
58498,Marquette Law School,-0.7,11414,CON,49,Trump
81485,Kaiser Family Foundation,-1,21761,IND,43,Oliver
38288,TIPP,-0.9,14151,OTH,39,West
41323,Bullfinch,0,16258,IND,38,Biden
52031,ARW Strategies,-0.9,12880,OTH,44,Harris
21839,Victory Insights,0.3,22529,LIB,47,Biden
60613,co/efficient,0.2,17143,LIB,53,Harris
88309,Fabrizio/McLaughlin,0.1,13107,OTH,45,Kennedy
20430,Data Orbital,-0.5,23903,GRE,56,Harris
50606,SurveyUSA/High Point University,-1.5,24383,REP,57,Harris
45541,Spry Strategies,0.3,4826,UNK,48,West
1096,St. Anselm,-0.4,26033,LIB,45,Biden
38004,Iron Light,-1,11680,LIB,50,Biden
80876,Victory Insights,-0.9,16853,IND,54,Harris
8657,Winthrop U.,-0.8,19883,LIB,61,Biden
75896,Dan Jones,-0.1,15525,GRE,50,Biden
18244,Research Co.,0.2,24995,PSL,57,Trump
27076,Fabrizio/Impact,-0.4,5699,IND,54,Biden
61535,UMass Amherst/YouGov,NA,23419,PSL,53,Harris
31454,John Zogby Strategies,0.3,3394,REP,52,Biden
56260,Tulchin Research,-0.5,12668,CON,44,Harris
6642,PPP,0,21088,IND,58,Trump
81402,Florida Atlantic University/Mainstreet Research,-1,15148,CON,56,Harris
12762,SurveyMonkey,-0.2,17923,GRE,46,Trump
72609,J.L. Partners,1.6,17188,GRE,62,Kennedy
77144,ABC/Washington Post,-0.4,13482,CON,58,Trump
2041,Slingshot Strategies,-1.5,5393,GRE,49,Biden
81398,Civiqs,-1,4821,IND,50,Trump
23090,Quantus Polls and News,-0.5,16646,REP,53,Biden
30743,Hoffman Research,-0.9,23039,UNK,46,Terry
19523,YouGov/Center for Working Class Politics,-1.1,4902,PSL,35,West
69996,Hendrix College,NA,24772,UNK,60,Trump
73204,Mitchell,-1.2,552,REP,60,Stein
17652,Harris Poll,NA,7380,REP,65,Harris
82756,GS Strategy Group,0.2,11906,IND,47,Harris
15294,Fabrizio,-0.8,14650,CON,55,Trump
80152,UpOne Insights/BSG,0.2,9148,REP,45,Biden
13195,Yale Youth Poll,-0.5,22385,DEM,54,Harris
47346,Cygnal/Aspect Strategic,0.2,22850,GRE,53,Kennedy
6901,SurveyUSA/High Point University,-1.5,5866,UNK,47,Biden
31652,The Washington Post,0.3,5150,UNK,50,Trump
78767,CWS Research,-0.1,18278,DEM,65,DeSantis
78133,Big Data Poll,0,12119,UNK,52,Stein
17251,Hunt Research,-1.1,21913,UNK,51,Stein
61256,U. Rhode Island,0.6,17661,REP,57,Trump
40224,PPIC,0.6,2438,GRE,49,Biden
47695,Ipsos,-0.7,10015,OTH,44,Oliver
11981,Franklin and Marshall College,-0.3,12621,PSL,56,Kennedy
14590,New Bridge Strategy/Aspect Strategic,-0.2,6034,IND,57,Biden
65125,Fabrizio/David Binder Research,-0.6,20428,LIB,53,Stein
37159,Torchlight Strategies,-1.5,11059,REP,60,Stein
62673,Public Opinion Strategies,-1.3,12143,PSL,52,Biden
2916,Cygnal,1.6,8531,CON,52,Trump
57833,Hart/POS,0.6,13434,OTH,57,Trump
87141,SoonerPoll.com,0.7,18393,PSL,52,Trump
69590,Capitol Weekly,-0.1,13628,LIB,56,Harris
28508,Opinion Diagnostics,-0.7,16415,GRE,63,Biden
58777,Fairleigh Dickinson,0.7,12011,OTH,58,Biden
74119,Target Insyght,0,15311,PSL,54,Biden
66793,Hart Research Associates,-0.3,3877,CON,59,West
12399,Remington,-0.8,5745,IND,56,Trump
28304,The Political Matrix/The Listener Group,-0.3,9808,OTH,48,Sanders
5332,University of Delaware,-1.3,6695,GRE,65,Trump
22226,Data Orbital,-0.2,1901,LIB,57,West
70020,ABC/Washington Post,-0.6,11229,LIB,48,Biden
60263,Pew,0.2,3778,PSL,50,DeSantis
14655,PPP,-0.7,13636,DEM,57,Trump
2962,U. North Florida,-1.5,20292,REP,45,Haley
76006,AtlasIntel,-0.1,1253,UNK,41,Trump
32296,Cherry Communications,-1.1,7666,DEM,50,Stein
17542,Cor Strategies,-0.6,7546,LIB,52,Biden
22453,OnMessage Inc.,-1.5,19237,DEM,42,Trump
19673,Data for Progress,-1,402,IND,44,Trump
1393,U. Houston,0.2,3238,REP,53,Biden
47961,Fairleigh Dickinson,-0.4,16,GRE,41,Manchin
40184,PEM Management Corporation,-1.2,1600,CON,60,Trump
62274,Benenson,0.2,22156,PSL,49,Mapstead
31799,Digital Research,-0.5,22770,PSL,50,Biden
20939,Big Data Poll,-0.5,5486,GRE,50,Trump
33569,Virginia Commonwealth U.,0.6,15260,UNK,43,Stein
38156,Fabrizio/McLaughlin,-0.7,71,OTH,54,Biden
35336,The Washington Post,-0.3,15530,LIB,53,Biden
87895,P2 Insights,-0.5,10249,PSL,62,Biden
77506,Beacon/Shaw,-0.3,23751,CON,46,Biden
2937,YouGov Blue,0,23357,UNK,47,Harris
18183,Data Viewpoint,-0.8,7664,CON,50,Trump
65872,Research & Polling,-0.4,3508,OTH,59,Trump
30766,Cygnal,-1.1,12668,CON,45,Trump
50540,Pew,-0.9,22029,OTH,49,Kennedy
21162,Praecones Analytica,-0.3,2528,LIB,47,DeSantis
51314,Let's Preserve the American Dream,-0.7,16,GRE,44,Kennedy
33773,TIPP,1.6,4255,GRE,44,Trump
67624,Remington,-0.2,18592,OTH,41,Trump
14226,Research America,0.7,10515,DEM,59,Kennedy
15874,VoteTXT,-0.1,24766,PSL,51,Trump
48383,Research Co.,-1.2,9651,OTH,56,Biden
73544,Alaska Survey Research,-0.8,25296,UNK,43,Biden
6630,American Pulse,-0.3,19719,OTH,44,Oliver
87536,Research America,0.3,19540,DEM,46,Stein
71940,Outward Intelligence,-1.3,17234,LIB,43,Biden
32391,HarrisX/Harris Poll,-0.3,10164,DEM,50,Kennedy
85906,Ohio Northern University Institute for Civics and Public Policy,-0.2,13170,GRE,50,Trump
79919,ActiVote,-0.9,11530,UNK,44,West
40877,Angus Reid,-0.3,23897,DEM,44,Trump
68259,Pew,-1.2,7894,DEM,43,West
16151,McLaughlin,0,26007,UNK,42,Biden
10632,Florida Atlantic University,NA,3611,PSL,52,Stein
52873,3W Insights,-0.9,23437,PSL,53,Stein
40880,AtlasIntel,-1.3,18239,LIB,43,Oliver
7414,SSRS,-1.2,26124,LIB,39,Trump
78333,Beacon/Shaw,-0.9,4824,GRE,71,Trump
51750,Fabrizio/GBAO,0.6,19761,REP,60,Biden
81638,1892 Polling,-0.3,9106,DEM,45,Harris
8078,Navigator,-0.5,10620,OTH,55,Trump
10241,Prime Group,-0.5,22945,REP,51,Kennedy
33034,Abacus Data,-0.5,20167,GRE,60,Harris
14095,Research & Polling,-0.3,15730,IND,59,Biden
38714,Bowling Green State University/YouGov,0.1,20875,IND,57,Trump
10373,Noble Predictive Insights,-1.1,25565,LIB,55,Trump
71369,John Zogby Strategies,-0.2,5850,DEM,65,Trump
18128,Strategies 360,-1,17552,OTH,62,Oliver
74734,Probolsky Research,-1.3,15639,UNK,46,Biden
57040,Glengariff Group Inc.,-0.7,15900,UNK,50,Biden
78353,Digital Research,-1.2,3213,DEM,50,Trump
81083,VCreek/AMG,-0.2,15080,PSL,48,Trump
12878,Innovative Research Group,0.1,180,OTH,61,Stein
67159,Schoen Cooperman,0.1,7467,CON,48,Oliver
69767,SoonerPoll.com,-0.5,2793,OTH,46,Trump
36508,Muhlenberg,-1.3,15115,UNK,55,Biden
50804,Chism Strategies,-1.2,21793,CON,58,Biden
85029,Hunt Research,-0.3,5618,REP,46,Biden
81927,Angus Reid,-0.4,6918,IND,50,Kennedy
74323,Virginia Commonwealth U.,-1.1,10609,REP,47,Trump
31598,Premise,-0.9,2251,UNK,37,Trump
45906,Axis Research,-0.8,23969,REP,49,Trump
60518,Roanoke College,1.6,18957,CON,52,Trump
40684,Hunt Research,NA,19119,PSL,45,Trump
637,Fabrizio/McLaughlin,0.4,21989,PSL,44,Trump
36867,Impact Research,0.3,22837,REP,51,Biden
76701,Texas Lyceum,1.7,1248,CON,53,Biden
82490,Ipsos,-0.6,14302,OTH,60,Trump
1140,Harris Poll,-1.3,21969,LIB,43,Trump
22946,YouGov Blue,-0.5,26113,IND,48,Biden
62280,RMG Research,NA,6522,DEM,59,Biden
60548,Washington Post/George Mason University,-1.2,1490,OTH,62,Haley
52147,SSRS,NA,1229,DEM,40,Biden
14762,Glengariff Group Inc.,-0.4,23641,CON,48,Biden
67908,Cygnal,0.6,18592,PSL,42,Trump
