answer,pct,pollster,methodology,population,population_full,sample_size,numeric_grade,pollscore,party,transparency_score,end_date
Harris,48,TIPP,Online Panel,lv,lv,1223,1.8,-0.4,DEM,3,10/18/24
Trump,47,TIPP,Online Panel,lv,lv,1223,1.8,-0.4,REP,3,10/18/24
Harris,55,PPP,IVR/Text,lv,lv,571,1.4,0,DEM,4,10/17/24
Trump,40,PPP,IVR/Text,lv,lv,571,1.4,0,REP,4,10/17/24
Harris,53,PPP,IVR/Text,lv,lv,716,1.4,0,DEM,4,10/17/24
Trump,41,PPP,IVR/Text,lv,lv,716,1.4,0,REP,4,10/17/24
Harris,49,TIPP,Online Panel,lv,lv,1257,1.8,-0.4,DEM,3,10/17/24
Trump,47,TIPP,Online Panel,lv,lv,1257,1.8,-0.4,REP,3,10/17/24
Harris,47,RMG Research,Online Panel,lv,lv,788,2.3,-0.4,DEM,5,10/17/24
Trump,52,RMG Research,Online Panel,lv,lv,788,2.3,-0.4,REP,5,10/17/24
Harris,49,TIPP,Online Panel,lv,lv,1228,1.8,-0.4,DEM,3,10/16/24
Trump,46,TIPP,Online Panel,lv,lv,1228,1.8,-0.4,REP,3,10/16/24
Harris,49.5,Emerson,IVR/Online Panel/Text-to-Web,lv,lv,1000,2.9,-1.1,DEM,7,10/16/24
Trump,49.2,Emerson,IVR/Online Panel/Text-to-Web,lv,lv,1000,2.9,-1.1,REP,7,10/16/24
Harris,45,OnMessage Inc.,Online Panel,lv,lv,800,1.1,0.2,DEM,1,10/16/24
Trump,46,OnMessage Inc.,Online Panel,lv,lv,800,1.1,0.2,REP,1,10/16/24
Harris,50,RMG Research,Online Panel,lv,lv,2950,2.3,-0.4,DEM,5,10/16/24
Trump,49,RMG Research,Online Panel,lv,lv,2950,2.3,-0.4,REP,5,10/16/24
Harris,48.8,TIPP,Online Panel,rv,rv,1029,1.8,-0.4,DEM,3,10/16/24
Trump,45.8,TIPP,Online Panel,rv,rv,1029,1.8,-0.4,REP,3,10/16/24
Harris,48.3,TIPP,Online Panel,lv,lv,813,1.8,-0.4,DEM,3,10/16/24
Trump,48.5,TIPP,Online Panel,lv,lv,813,1.8,-0.4,REP,3,10/16/24
Harris,48.3,TIPP,Online Panel,rv,rv,1029,1.8,-0.4,DEM,3,10/16/24
Trump,44.8,TIPP,Online Panel,rv,rv,1029,1.8,-0.4,REP,3,10/16/24
West,1,TIPP,Online Panel,rv,rv,1029,1.8,-0.4,IND,3,10/16/24
Stein,1,TIPP,Online Panel,rv,rv,1029,1.8,-0.4,GRE,3,10/16/24
Harris,49,TIPP,Online Panel,lv,lv,813,1.8,-0.4,DEM,3,10/16/24
Trump,48.5,TIPP,Online Panel,lv,lv,813,1.8,-0.4,REP,3,10/16/24
West,0.5,TIPP,Online Panel,lv,lv,813,1.8,-0.4,IND,3,10/16/24
Stein,0.8,TIPP,Online Panel,lv,lv,813,1.8,-0.4,GRE,3,10/16/24
Harris,48,YouGov,Online Panel,lv,lv,1435,3,-1.1,DEM,9,10/16/24
Trump,51,YouGov,Online Panel,lv,lv,1435,3,-1.1,REP,9,10/16/24
Harris,49,RMG Research,Online Panel,lv,lv,787,2.3,-0.4,DEM,5,10/16/24
Trump,50,RMG Research,Online Panel,lv,lv,787,2.3,-0.4,REP,5,10/16/24
Harris,49,RMG Research,Online Panel,lv,lv,789,2.3,-0.4,DEM,5,10/16/24
Trump,49,RMG Research,Online Panel,lv,lv,789,2.3,-0.4,REP,5,10/16/24
Harris,50,TIPP,Online Panel,lv,lv,1248,1.8,-0.4,DEM,3,10/15/24
Trump,46,TIPP,Online Panel,lv,lv,1248,1.8,-0.4,REP,3,10/15/24
Harris,48,YouGov,Online Panel,rv,rv,1457,3,-1.1,DEM,9,10/15/24
Trump,45,YouGov,Online Panel,rv,rv,1457,3,-1.1,REP,9,10/15/24
Stein,1,YouGov,Online Panel,rv,rv,1457,3,-1.1,GRE,9,10/15/24
West,1,YouGov,Online Panel,rv,rv,1457,3,-1.1,IND,9,10/15/24
Harris,49,YouGov,Online Panel,lv,lv,1314,3,-1.1,DEM,9,10/15/24
Trump,45,YouGov,Online Panel,lv,lv,1314,3,-1.1,REP,9,10/15/24
Stein,1,YouGov,Online Panel,lv,lv,1314,3,-1.1,GRE,9,10/15/24
West,0,YouGov,Online Panel,lv,lv,1314,3,-1.1,IND,9,10/15/24
Harris,49,Morning Consult,Online Panel,lv,lv,653,1.9,-0.3,DEM,3,10/15/24
Trump,48,Morning Consult,Online Panel,lv,lv,653,1.9,-0.3,REP,3,10/15/24
Harris,48,Morning Consult,Online Panel,lv,lv,1002,1.9,-0.3,DEM,3,10/15/24
Trump,49,Morning Consult,Online Panel,lv,lv,1002,1.9,-0.3,REP,3,10/15/24
Harris,64,Morning Consult,Online Panel,lv,lv,490,1.9,-0.3,DEM,3,10/15/24
Trump,31,Morning Consult,Online Panel,lv,lv,490,1.9,-0.3,REP,3,10/15/24
Harris,49,Morning Consult,Online Panel,lv,lv,1065,1.9,-0.3,DEM,3,10/15/24
Trump,47,Morning Consult,Online Panel,lv,lv,1065,1.9,-0.3,REP,3,10/15/24
Harris,49,Morning Consult,Online Panel,lv,lv,496,1.9,-0.3,DEM,3,10/15/24
Trump,45,Morning Consult,Online Panel,lv,lv,496,1.9,-0.3,REP,3,10/15/24
Harris,48,Morning Consult,Online Panel,lv,lv,1072,1.9,-0.3,DEM,3,10/15/24
Trump,49,Morning Consult,Online Panel,lv,lv,1072,1.9,-0.3,REP,3,10/15/24
Harris,45,Morning Consult,Online Panel,lv,lv,1243,1.9,-0.3,DEM,3,10/15/24
Trump,52,Morning Consult,Online Panel,lv,lv,1243,1.9,-0.3,REP,3,10/15/24
Harris,49,Morning Consult,Online Panel,lv,lv,1395,1.9,-0.3,DEM,3,10/15/24
Trump,48,Morning Consult,Online Panel,lv,lv,1395,1.9,-0.3,REP,3,10/15/24
Harris,46,Morning Consult,Online Panel,lv,lv,2048,1.9,-0.3,DEM,3,10/15/24
Trump,50,Morning Consult,Online Panel,lv,lv,2048,1.9,-0.3,REP,3,10/15/24
Harris,47,Morning Consult,Online Panel,lv,lv,527,1.9,-0.3,DEM,3,10/15/24
Trump,48,Morning Consult,Online Panel,lv,lv,527,1.9,-0.3,REP,3,10/15/24
Harris,49,TIPP,Online Panel,lv,lv,1198,1.8,-0.4,DEM,3,10/14/24
Trump,46,TIPP,Online Panel,lv,lv,1198,1.8,-0.4,REP,3,10/14/24
Harris,49,Patriot Polling,IVR,rv,rv,803,1.1,0.6,DEM,5,10/14/24
Trump,50,Patriot Polling,IVR,rv,rv,803,1.1,0.6,REP,5,10/14/24
Harris,61,Emerson,IVR/Online Panel,lv,lv,1000,2.9,-1.1,DEM,7,10/14/24
Trump,36.6,Emerson,IVR/Online Panel,lv,lv,1000,2.9,-1.1,REP,7,10/14/24
Harris,46,Redfield & Wilton Strategies,Online Panel,lv,lv,620,1.8,0.4,DEM,9,10/14/24
Trump,48,Redfield & Wilton Strategies,Online Panel,lv,lv,620,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,620,1.8,0.4,LIB,9,10/14/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,620,1.8,0.4,GRE,9,10/14/24
Harris,46,Redfield & Wilton Strategies,Online Panel,lv,lv,1141,1.8,0.4,DEM,9,10/14/24
Trump,48,Redfield & Wilton Strategies,Online Panel,lv,lv,1141,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,1141,1.8,0.4,LIB,9,10/14/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,1141,1.8,0.4,GRE,9,10/14/24
Harris,44,Redfield & Wilton Strategies,Online Panel,lv,lv,1009,1.8,0.4,DEM,9,10/14/24
Trump,50,Redfield & Wilton Strategies,Online Panel,lv,lv,1009,1.8,0.4,REP,9,10/14/24
Oliver,0,Redfield & Wilton Strategies,Online Panel,lv,lv,1009,1.8,0.4,LIB,9,10/14/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,1009,1.8,0.4,GRE,9,10/14/24
Harris,47,Redfield & Wilton Strategies,Online Panel,lv,lv,637,1.8,0.4,DEM,9,10/14/24
Trump,47,Redfield & Wilton Strategies,Online Panel,lv,lv,637,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,637,1.8,0.4,LIB,9,10/14/24
Stein,2,Redfield & Wilton Strategies,Online Panel,lv,lv,637,1.8,0.4,GRE,9,10/14/24
Harris,47,Redfield & Wilton Strategies,Online Panel,lv,lv,682,1.8,0.4,DEM,9,10/14/24
Trump,47,Redfield & Wilton Strategies,Online Panel,lv,lv,682,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,682,1.8,0.4,LIB,9,10/14/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,682,1.8,0.4,GRE,9,10/14/24
Harris,51,Redfield & Wilton Strategies,Online Panel,lv,lv,544,1.8,0.4,DEM,9,10/14/24
Trump,43,Redfield & Wilton Strategies,Online Panel,lv,lv,544,1.8,0.4,REP,9,10/14/24
Oliver,0,Redfield & Wilton Strategies,Online Panel,lv,lv,544,1.8,0.4,LIB,9,10/14/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,544,1.8,0.4,GRE,9,10/14/24
Harris,47,Redfield & Wilton Strategies,Online Panel,lv,lv,838,1.8,0.4,DEM,9,10/14/24
Trump,47,Redfield & Wilton Strategies,Online Panel,lv,lv,838,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,838,1.8,0.4,LIB,9,10/14/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,838,1.8,0.4,GRE,9,10/14/24
Harris,49,Redfield & Wilton Strategies,Online Panel,lv,lv,382,1.8,0.4,DEM,9,10/14/24
Trump,45,Redfield & Wilton Strategies,Online Panel,lv,lv,382,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,382,1.8,0.4,LIB,9,10/14/24
Stein,2,Redfield & Wilton Strategies,Online Panel,lv,lv,382,1.8,0.4,GRE,9,10/14/24
Harris,48,Redfield & Wilton Strategies,Online Panel,lv,lv,1649,1.8,0.4,DEM,9,10/14/24
Trump,48,Redfield & Wilton Strategies,Online Panel,lv,lv,1649,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,1649,1.8,0.4,LIB,9,10/14/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,1649,1.8,0.4,GRE,9,10/14/24
Harris,48,Redfield & Wilton Strategies,Online Panel,lv,lv,641,1.8,0.4,DEM,9,10/14/24
Trump,47,Redfield & Wilton Strategies,Online Panel,lv,lv,641,1.8,0.4,REP,9,10/14/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,641,1.8,0.4,LIB,9,10/14/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,641,1.8,0.4,GRE,9,10/14/24
Harris,46.6,Cygnal,Live Phone/Text-to-Web,lv,lv,600,2.1,-1.1,DEM,4,10/14/24
Trump,47.2,Cygnal,Live Phone/Text-to-Web,lv,lv,600,2.1,-1.1,REP,4,10/14/24
Oliver,0.9,Cygnal,Live Phone/Text-to-Web,lv,lv,600,2.1,-1.1,LIB,4,10/14/24
Terry,0.1,Cygnal,Live Phone/Text-to-Web,lv,lv,600,2.1,-1.1,CON,4,10/14/24
Stein,0.4,Cygnal,Live Phone/Text-to-Web,lv,lv,600,2.1,-1.1,GRE,4,10/14/24
West,0.6,Cygnal,Live Phone/Text-to-Web,lv,lv,600,2.1,-1.1,IND,4,10/14/24
Harris,48,Beacon/Shaw,Live Phone/Text-to-Web,rv,rv,1110,2.8,-1.1,DEM,9,10/14/24
Trump,50,Beacon/Shaw,Live Phone/Text-to-Web,rv,rv,1110,2.8,-1.1,REP,9,10/14/24
Harris,48,Beacon/Shaw,Live Phone/Text-to-Web,lv,lv,870,2.8,-1.1,DEM,9,10/14/24
Trump,50,Beacon/Shaw,Live Phone/Text-to-Web,lv,lv,870,2.8,-1.1,REP,9,10/14/24
Harris,45,Quinnipiac,Live Phone,lv,lv,1328,2.8,-0.5,DEM,9,10/14/24
Trump,52,Quinnipiac,Live Phone,lv,lv,1328,2.8,-0.5,REP,9,10/14/24
Stein,1,Quinnipiac,Live Phone,lv,lv,1328,2.8,-0.5,GRE,9,10/14/24
Oliver,1,Quinnipiac,Live Phone,lv,lv,1328,2.8,-0.5,LIB,9,10/14/24
Harris,46,Quinnipiac,Live Phone,lv,lv,1328,2.8,-0.5,DEM,9,10/14/24
Trump,52,Quinnipiac,Live Phone,lv,lv,1328,2.8,-0.5,REP,9,10/14/24
Harris,49,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,DEM,9,10/14/24
Trump,47,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,REP,9,10/14/24
Stein,0,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,GRE,9,10/14/24
Oliver,1,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,LIB,9,10/14/24
West,0,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,IND,9,10/14/24
Terry,0,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,CON,9,10/14/24
Harris,50,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,DEM,9,10/14/24
Trump,47,Quinnipiac,Live Phone,lv,lv,1031,2.8,-0.5,REP,9,10/14/24
Harris,57,SurveyUSA,Online Panel,lv,lv,703,2.8,-1.3,DEM,8,10/14/24
Trump,35,SurveyUSA,Online Panel,lv,lv,703,2.8,-1.3,REP,8,10/14/24
Harris,45.8,East Carolina University,IVR/Text-to-Web,lv,lv,701,2.6,-0.5,DEM,7,10/14/24
Trump,48.9,East Carolina University,IVR/Text-to-Web,lv,lv,701,2.6,-0.5,REP,7,10/14/24
Oliver,0.4,East Carolina University,IVR/Text-to-Web,lv,lv,701,2.6,-0.5,LIB,7,10/14/24
Stein,1.4,East Carolina University,IVR/Text-to-Web,lv,lv,701,2.6,-0.5,GRE,7,10/14/24
Harris,50,Fairleigh Dickinson,Live Phone/Text-to-Web,rv,rv,806,2.6,-0.6,DEM,9.5,10/14/24
Trump,47,Fairleigh Dickinson,Live Phone/Text-to-Web,rv,rv,806,2.6,-0.6,REP,9.5,10/14/24
Harris,49,TIPP,Online Panel,lv,lv,1212,1.8,-0.4,DEM,3,10/13/24
Trump,46,TIPP,Online Panel,lv,lv,1212,1.8,-0.4,REP,3,10/13/24
Harris,49,HarrisX/Harris Poll,Online Panel,lv,lv,2596,1.5,-0.1,DEM,7,10/13/24
Trump,48,HarrisX/Harris Poll,Online Panel,lv,lv,2596,1.5,-0.1,REP,7,10/13/24
West,1,HarrisX/Harris Poll,Online Panel,lv,lv,2596,1.5,-0.1,IND,7,10/13/24
Stein,1,HarrisX/Harris Poll,Online Panel,lv,lv,2596,1.5,-0.1,GRE,7,10/13/24
Harris,51,HarrisX/Harris Poll,Online Panel,lv,lv,2596,1.5,-0.1,DEM,7,10/13/24
Trump,49,HarrisX/Harris Poll,Online Panel,lv,lv,2596,1.5,-0.1,REP,7,10/13/24
Harris,51,HarrisX/Harris Poll,Online Panel,rv,rv,3145,1.5,-0.1,DEM,7,10/13/24
Trump,49,HarrisX/Harris Poll,Online Panel,rv,rv,3145,1.5,-0.1,REP,7,10/13/24
Harris,49,HarrisX/Harris Poll,Online Panel,rv,rv,3145,1.5,-0.1,DEM,7,10/13/24
Trump,48,HarrisX/Harris Poll,Online Panel,rv,rv,3145,1.5,-0.1,REP,7,10/13/24
West,2,HarrisX/Harris Poll,Online Panel,rv,rv,3145,1.5,-0.1,IND,7,10/13/24
Stein,1,HarrisX/Harris Poll,Online Panel,rv,rv,3145,1.5,-0.1,GRE,7,10/13/24
Harris,50,Morning Consult,Online Panel,lv,lv,8647,1.9,-0.3,DEM,3,10/13/24
Trump,46,Morning Consult,Online Panel,lv,lv,8647,1.9,-0.3,REP,3,10/13/24
Harris,45,Ipsos,Probability Panel,rv,rv,807,2.8,-0.9,DEM,9.5,10/13/24
Trump,42,Ipsos,Probability Panel,rv,rv,807,2.8,-0.9,REP,9.5,10/13/24
Harris,47,Ipsos,Probability Panel,lv,lv,769,2.8,-0.9,DEM,9.5,10/13/24
Trump,44,Ipsos,Probability Panel,lv,lv,769,2.8,-0.9,REP,9.5,10/13/24
Harris,41,Ipsos,Probability Panel,a,a,938,2.8,-0.9,DEM,9.5,10/13/24
Trump,37,Ipsos,Probability Panel,a,a,938,2.8,-0.9,REP,9.5,10/13/24
Harris,46,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1090,0.7,0.6,DEM,4,10/13/24
Trump,47.5,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1090,0.7,0.6,REP,4,10/13/24
Harris,44.6,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1085,0.7,0.6,DEM,4,10/13/24
Trump,46.5,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1085,0.7,0.6,REP,4,10/13/24
Harris,45.6,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1088,0.7,0.6,DEM,4,10/13/24
Trump,44.8,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1088,0.7,0.6,REP,4,10/13/24
Harris,50,Morning Consult,Online Panel,lv,lv,8901,1.9,-0.3,DEM,3,10/12/24
Trump,46,Morning Consult,Online Panel,lv,lv,8901,1.9,-0.3,REP,3,10/12/24
Harris,57,Elway,Live Phone/Text-to-Web,lv,lv,401,1.9,-0.2,DEM,6,10/12/24
Trump,32,Elway,Live Phone/Text-to-Web,lv,lv,401,1.9,-0.2,REP,6,10/12/24
Harris,50,Morning Consult,Online Panel,lv,lv,8902,1.9,-0.3,DEM,3,10/11/24
Trump,46,Morning Consult,Online Panel,lv,lv,8902,1.9,-0.3,REP,3,10/11/24
Harris,51,HarrisX,Online Panel,rv,rv,2010,1.5,-0.1,DEM,6,10/11/24
Trump,49,HarrisX,Online Panel,rv,rv,2010,1.5,-0.1,REP,6,10/11/24
Harris,51,HarrisX,Online Panel,lv,lv,1692,1.5,-0.1,DEM,6,10/11/24
Trump,49,HarrisX,Online Panel,lv,lv,1692,1.5,-0.1,REP,6,10/11/24
Harris,51,HarrisX,Online Panel,lv,lv,1622,1.5,-0.1,DEM,6,10/11/24
Trump,49,HarrisX,Online Panel,lv,lv,1622,1.5,-0.1,REP,6,10/11/24
Harris,49,HarrisX,Online Panel,rv,rv,2010,1.5,-0.1,DEM,6,10/11/24
Trump,46,HarrisX,Online Panel,rv,rv,2010,1.5,-0.1,REP,6,10/11/24
West,2,HarrisX,Online Panel,rv,rv,2010,1.5,-0.1,IND,6,10/11/24
Stein,2,HarrisX,Online Panel,rv,rv,2010,1.5,-0.1,GRE,6,10/11/24
Harris,49,HarrisX,Online Panel,lv,lv,1692,1.5,-0.1,DEM,6,10/11/24
Trump,48,HarrisX,Online Panel,lv,lv,1692,1.5,-0.1,REP,6,10/11/24
West,1,HarrisX,Online Panel,lv,lv,1692,1.5,-0.1,IND,6,10/11/24
Stein,1,HarrisX,Online Panel,lv,lv,1692,1.5,-0.1,GRE,6,10/11/24
Harris,49,HarrisX,Online Panel,lv,lv,1622,1.5,-0.1,DEM,6,10/11/24
Trump,49,HarrisX,Online Panel,lv,lv,1622,1.5,-0.1,REP,6,10/11/24
West,1,HarrisX,Online Panel,lv,lv,1622,1.5,-0.1,IND,6,10/11/24
Stein,1,HarrisX,Online Panel,lv,lv,1622,1.5,-0.1,GRE,6,10/11/24
Harris,51,YouGov,Online Panel,lv,lv,2712,3,-1.1,DEM,9,10/11/24
Trump,48,YouGov,Online Panel,lv,lv,2712,3,-1.1,REP,9,10/11/24
Harris,44.9,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,DEM,6,10/11/24
Trump,44,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,REP,6,10/11/24
Kennedy,2.6,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,IND,6,10/11/24
Stein,2.1,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,GRE,6,10/11/24
West,0.5,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,IND,6,10/11/24
Kishore,0,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,IND,6,10/11/24
Terry,0,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,CON,6,10/11/24
Oliver,1.2,MRG (Marketing Resource Group),Live Phone,lv,lv,600,1.8,0.1,LIB,6,10/11/24
Harris,50,Morning Consult,Online Panel,lv,lv,9556,1.9,-0.3,DEM,3,10/10/24
Trump,46,Morning Consult,Online Panel,lv,lv,9556,1.9,-0.3,REP,3,10/10/24
Harris,52,Marist,Online Panel/Text-to-Web,lv,lv,1401,2.9,-0.9,DEM,9,10/10/24
