answer,pct,sample_size,numeric_grade,transparency_score,pollscore
Harris,50,857,3,9,-1.5
Trump,47,857,3,9,-1.5
Harris,49,857,3,9,-1.5
Trump,45,857,3,9,-1.5
Stein,2,857,3,9,-1.5
Oliver,1,857,3,9,-1.5
Harris,50,857,3,9,-1.5
Trump,47,857,3,9,-1.5
Harris,49,857,3,9,-1.5
Trump,45,857,3,9,-1.5
Stein,1,857,3,9,-1.5
Oliver,0,857,3,9,-1.5
Harris,46,808,3,9,-1.5
Trump,51,808,3,9,-1.5
Harris,45,808,3,9,-1.5
Trump,50,808,3,9,-1.5
Stein,1,808,3,9,-1.5
Oliver,0,808,3,9,-1.5
Harris,45,808,3,9,-1.5
Trump,51,808,3,9,-1.5
Harris,44,808,3,9,-1.5
Trump,49,808,3,9,-1.5
Stein,2,808,3,9,-1.5
Oliver,1,808,3,9,-1.5
Harris,39,656,3,9,-1.5
Trump,57,656,3,9,-1.5
Harris,38,656,3,9,-1.5
Trump,56,656,3,9,-1.5
Stein,0,656,3,9,-1.5
Oliver,0,656,3,9,-1.5
Harris,40,656,3,9,-1.5
Trump,57,656,3,9,-1.5
Harris,39,656,3,9,-1.5
Trump,56,656,3,9,-1.5
Stein,0,656,3,9,-1.5
Oliver,0,656,3,9,-1.5
Harris,41,622,3,9,-1.5
Trump,55,622,3,9,-1.5
Harris,40,622,3,9,-1.5
Trump,53,622,3,9,-1.5
Stein,0,622,3,9,-1.5
Oliver,0,622,3,9,-1.5
Harris,41,622,3,9,-1.5
Trump,54,622,3,9,-1.5
Harris,40,622,3,9,-1.5
Trump,53,622,3,9,-1.5
Stein,0,622,3,9,-1.5
Oliver,1,622,3,9,-1.5
Harris,44,617,3,9,-1.5
Trump,50,617,3,9,-1.5
Harris,42,617,3,9,-1.5
Trump,49,617,3,9,-1.5
Stein,2,617,3,9,-1.5
Oliver,2,617,3,9,-1.5
Harris,44,617,3,9,-1.5
Trump,50,617,3,9,-1.5
Harris,41,617,3,9,-1.5
Trump,48,617,3,9,-1.5
Stein,2,617,3,9,-1.5
Oliver,3,617,3,9,-1.5
Harris,51,680,3,9,-1.5
Trump,42,680,3,9,-1.5
Harris,49,680,3,9,-1.5
Trump,41,680,3,9,-1.5
Stein,2,680,3,9,-1.5
Oliver,2,680,3,9,-1.5
Harris,52,680,3,9,-1.5
Trump,43,680,3,9,-1.5
Harris,51,680,3,9,-1.5
Trump,42,680,3,9,-1.5
Stein,2,680,3,9,-1.5
Oliver,1,680,3,9,-1.5
Harris,45,688,3,9,-1.5
Trump,47,688,3,9,-1.5
Harris,43,688,3,9,-1.5
Trump,46,688,3,9,-1.5
Stein,2,688,3,9,-1.5
Oliver,2,688,3,9,-1.5
Harris,48,688,3,9,-1.5
Trump,47,688,3,9,-1.5
Harris,46,688,3,9,-1.5
Trump,46,688,3,9,-1.5
Stein,2,688,3,9,-1.5
Oliver,1,688,3,9,-1.5
Harris,45,687,3,9,-1.5
Trump,49,687,3,9,-1.5
Harris,44,687,3,9,-1.5
Trump,47,687,3,9,-1.5
Stein,2,687,3,9,-1.5
Oliver,2,687,3,9,-1.5
Harris,44,687,3,9,-1.5
Trump,50,687,3,9,-1.5
Harris,43,687,3,9,-1.5
Trump,49,687,3,9,-1.5
Stein,2,687,3,9,-1.5
Oliver,2,687,3,9,-1.5
Harris,49,680,3,9,-1.5
Trump,47,680,3,9,-1.5
Harris,48,680,3,9,-1.5
Trump,45,680,3,9,-1.5
Stein,1,680,3,9,-1.5
Oliver,2,680,3,9,-1.5
Harris,49,680,3,9,-1.5
Trump,47,680,3,9,-1.5
Harris,48,680,3,9,-1.5
Trump,46,680,3,9,-1.5
Stein,1,680,3,9,-1.5
Oliver,2,680,3,9,-1.5
Harris,45,713,3,9,-1.5
Trump,49,713,3,9,-1.5
Harris,45,713,3,9,-1.5
Trump,50,713,3,9,-1.5
Harris,42,713,3,9,-1.5
Trump,47,713,3,9,-1.5
Stein,2,713,3,9,-1.5
Oliver,3,713,3,9,-1.5
Harris,43,713,3,9,-1.5
Trump,48,713,3,9,-1.5
Stein,2,713,3,9,-1.5
Oliver,2,713,3,9,-1.5
Harris,44,682,3,9,-1.5
Trump,48,682,3,9,-1.5
Harris,45,682,3,9,-1.5
Trump,49,682,3,9,-1.5
Harris,43,682,3,9,-1.5
Trump,46,682,3,9,-1.5
Stein,2,682,3,9,-1.5
Oliver,2,682,3,9,-1.5
Harris,44,682,3,9,-1.5
Trump,47,682,3,9,-1.5
Stein,1,682,3,9,-1.5
Oliver,2,682,3,9,-1.5
Harris,47,682,3,9,-1.5
Trump,48,682,3,9,-1.5
Harris,47,682,3,9,-1.5
Trump,49,682,3,9,-1.5
Harris,46,682,3,9,-1.5
Trump,46,682,3,9,-1.5
Stein,0,682,3,9,-1.5
Oliver,1,682,3,9,-1.5
Harris,45,682,3,9,-1.5
Trump,47,682,3,9,-1.5
Stein,0,682,3,9,-1.5
Oliver,1,682,3,9,-1.5
Harris,50,1082,3,9,-1.5
Trump,46,1082,3,9,-1.5
Harris,50,1082,3,9,-1.5
Trump,46,1082,3,9,-1.5
Harris,48,1082,3,9,-1.5
Trump,45,1082,3,9,-1.5
Stein,1,1082,3,9,-1.5
Oliver,1,1082,3,9,-1.5
Harris,49,1082,3,9,-1.5
Trump,45,1082,3,9,-1.5
Stein,1,1082,3,9,-1.5
Oliver,1,1082,3,9,-1.5
Harris,46,677,3,9,-1.5
Trump,48,677,3,9,-1.5
Harris,47,677,3,9,-1.5
Trump,48,677,3,9,-1.5
Harris,42,677,3,9,-1.5
Trump,45,677,3,9,-1.5
Kennedy,6,677,3,9,-1.5
Stein,0,677,3,9,-1.5
